"","Species","a","b"
"3527","Lacerta schreiberi",-4.543,2.951
"3528","Lacerta strigata",-4.543,2.951
"3529","Lacerta trilineata",-4.543,2.951
"3530","Lacerta viridis",-4.543,2.951
"3531","Lacertaspis chriswildi",-5.125,3.229
"3532","Lacertaspis gemmiventris",-5.125,3.229
"3533","Lacertaspis lepesmei",-5.125,3.229
"3534","Lacertaspis reichenowi",-5.125,3.229
"3535","Lacertaspis rohdei",-5.125,3.229
"3536","Lacertoides pardalis",-5.125,3.229
"3537","Laemanctus longipes",-5.033,3.243
"3538","Laemanctus serratus",-5.033,3.243
"3539","Lamprolepis leucosticta",-5.125,3.229
"3540","Lamprolepis nieuwenhuisii",-5.125,3.229
"3541","Lamprolepis smaragdina",-5.125,3.229
"3542","Lampropholis adonis",-5.125,3.229
"3543","Lampropholis amicula",-5.125,3.229
"3544","Lampropholis caligula",-5.125,3.229
"3545","Lampropholis coggeri",-5.125,3.229
"3546","Lampropholis colossus",-5.125,3.229
"3547","Lampropholis couperi",-5.125,3.229
"3548","Lampropholis delicata",-5.125,3.229
"3549","Lampropholis elongata",-5.125,3.229
"3550","Lampropholis guichenoti",-5.125,3.229
"3551","Lampropholis mirabilis",-5.125,3.229
"3552","Lampropholis robertsi",-5.125,3.229
"3553","Lankascincus deignani",-5.125,3.229
"3554","Lankascincus deraniyagalae",-5.125,3.229
"3555","Lankascincus dorsicatenatus",-5.125,3.229
"3556","Lankascincus fallax",-5.125,3.229
"3557","Lankascincus gansi",-5.125,3.229
"3558","Lankascincus greeri",-5.125,3.229
"3559","Lankascincus munindradasai",-5.125,3.229
"3560","Lankascincus sripadensis",-5.125,3.229
"3561","Lankascincus taprobanensis",-5.125,3.229
"3562","Lankascincus taylori",-5.125,3.229
"3563","Lanthanotus borneensis",-5.058,3.145
"3564","Larutia larutensis",-4.207,2.471
"3565","Larutia miodactyla",-4.207,2.471
"3566","Larutia nubisilvicola",-4.207,2.471
"3567","Larutia penangensis",-4.207,2.3
"3568","Larutia puehensis",-4.207,2.471
"3569","Larutia seribuatensis",-4.207,2.471
"3570","Larutia sumatrensis",-4.207,2.471
"3571","Larutia trifasciata",-4.207,2.471
"3572","Latastia boscai",-4.543,2.951
"3573","Latastia caeruleopunctata",-4.543,2.951
"3574","Latastia cherchii",-4.543,2.951
"3575","Latastia doriai",-4.543,2.951
"3576","Latastia johnstonii",-4.543,2.951
"3577","Latastia longicaudata",-4.543,2.951
"3578","Latastia ornata",-4.543,2.951
"3579","Latastia petersiana",-4.543,2.951
"3580","Latastia siebenrocki",-4.543,2.951
"3581","Latastia taylori",-4.543,2.951
"3582","Laudakia agrorensis",-4.686,3.105
"3583","Laudakia dayana",-4.686,3.105
"3584","Laudakia melanura",-4.686,3.105
"3585","Laudakia nupta",-4.686,3.105
"3586","Laudakia nuristanica",-4.686,3.105
"3587","Laudakia pakistanica",-4.686,3.105
"3588","Laudakia papenfussi",-4.686,3.105
"3589","Laudakia sacra",-4.686,3.105
"3590","Laudakia tuberculata",-4.686,3.105
"3591","Laudakia wui",-4.686,3.105
"3592","Leiocephalus anonymous",-5.033,3.243
"3593","Leiocephalus apertosulcus",-5.033,3.243
"3594","Leiocephalus barahonensis",-5.033,3.243
"3595","Leiocephalus carinatus",-5.033,3.243
"3596","Leiocephalus cubensis",-5.033,3.243
"3597","Leiocephalus cuneus",-5.033,3.243
"3598","Leiocephalus endomychus",-5.033,3.243
"3599","Leiocephalus eremitus",-5.033,3.243
"3600","Leiocephalus etheridgei",-5.033,3.243
"3601","Leiocephalus greenwayi",-5.033,3.243
"3602","Leiocephalus herminieri",-5.033,3.243
"3603","Leiocephalus inaguae",-5.033,3.243
"3604","Leiocephalus jamaicensis",-5.033,3.243
"3605","Leiocephalus loxogrammus",-5.033,3.243
"3606","Leiocephalus lunatus",-5.033,3.243
"3607","Leiocephalus macropus",-5.033,3.243
"3608","Leiocephalus melanochlorus",-5.033,3.243
"3609","Leiocephalus onaneyi",-5.033,3.243
"3610","Leiocephalus partidus",-5.033,3.243
"3611","Leiocephalus personatus",-5.033,3.243
"3612","Leiocephalus pratensis",-5.033,3.243
"3613","Leiocephalus psammodromus",-5.033,3.243
"3614","Leiocephalus punctatus",-5.033,3.243
"3615","Leiocephalus raviceps",-5.033,3.243
"3616","Leiocephalus rhutidira",-5.033,3.243
"3617","Leiocephalus schreibersii",-5.033,3.243
"3618","Leiocephalus semilineatus",-5.033,3.243
"3619","Leiocephalus sixtoi",-5.033,3.243
"3620","Leiocephalus stictigaster",-5.033,3.243
"3621","Leiocephalus varius",-5.033,3.243
"3622","Leiocephalus vinculum",-5.033,3.243
"3623","Leiolepis belliana",-4.686,3.105
"3624","Leiolepis boehmei",-4.686,3.105
"3625","Leiolepis guentherpetersi",-4.686,3.105
"3626","Leiolepis guttata",-4.686,3.105
"3627","Leiolepis ngovantrii",-4.686,3.105
"3628","Leiolepis peguensis",-4.686,3.105
"3629","Leiolepis reevesii",-4.686,3.105
"3630","Leiolepis rubritaeniata",-4.686,3.105
"3631","Leiolepis triploida",-4.686,3.105
"3632","Leiolopisma alazon",-5.125,3.229
"3633","Leiolopisma ceciliae",-5.125,3.229
"3634","Leiolopisma fasciolare",-5.125,3.229
"3635","Leiolopisma mauritiana",-5.125,3.229
"3636","Leiolopisma telfairii",-5.125,3.229
"3637","Leiosaurus bellii",-5.296,3.389
"3638","Leiosaurus catamarcensis",-5.296,3.389
"3639","Leiosaurus jaguaris",-5.296,3.389
"3640","Leiosaurus paronae",-5.296,3.389
"3641","Lepidoblepharis buchwaldi",-4.558,2.97
"3642","Lepidoblepharis colombianus",-4.558,2.97
"3643","Lepidoblepharis conolepis",-4.558,2.97
"3644","Lepidoblepharis duolepis",-4.558,2.97
"3645","Lepidoblepharis emberawoundule",-4.558,2.97
"3646","Lepidoblepharis festae",-4.558,2.97
"3647","Lepidoblepharis grandis",-4.558,2.97
"3648","Lepidoblepharis heyerorum",-4.558,2.97
"3649","Lepidoblepharis hoogmoedi",-4.558,2.97
"3650","Lepidoblepharis intermedius",-4.558,2.97
"3651","Lepidoblepharis microlepis",-4.558,2.97
"3652","Lepidoblepharis miyatai",-4.558,2.97
"3653","Lepidoblepharis montecanoensis",-4.558,2.97
"3654","Lepidoblepharis nukak",-4.558,2.97
"3655","Lepidoblepharis peraccae",-4.558,2.97
"3656","Lepidoblepharis rufigularis",-4.558,2.97
"3657","Lepidoblepharis ruthveni",-4.558,2.97
"3658","Lepidoblepharis sanctaemartae",-4.558,2.97
"3659","Lepidoblepharis victormartinezi",-4.558,2.97
"3660","Lepidoblepharis williamsi",-4.558,2.97
"3661","Lepidoblepharis xanthostigma",-4.558,2.97
"3662","Lepidodactylus aureolineatus",-4.242,2.761
"3663","Lepidodactylus balioburius",-4.242,2.761
"3664","Lepidodactylus browni",-4.242,2.761
"3665","Lepidodactylus buleli",-4.242,2.761
"3666","Lepidodactylus christiani",-4.242,2.761
"3667","Lepidodactylus euaensis",-4.242,2.761
"3668","Lepidodactylus flaviocularis",-4.242,2.761
"3669","Lepidodactylus gardineri",-4.242,2.761
"3670","Lepidodactylus guppyi",-4.242,2.761
"3671","Lepidodactylus herrei",-4.242,2.761
"3672","Lepidodactylus intermedius",-4.242,2.761
"3673","Lepidodactylus labialis",-4.242,2.761
"3674","Lepidodactylus listeri",-4.242,2.761
"3675","Lepidodactylus lombocensis",-4.242,2.761
"3676","Lepidodactylus lugubris",-4.242,2.761
"3677","Lepidodactylus magnus",-4.242,2.761
"3678","Lepidodactylus manni",-4.242,2.761
"3679","Lepidodactylus moestus",-4.242,2.761
"3680","Lepidodactylus mutahi",-4.242,2.761
"3681","Lepidodactylus novaeguineae",-4.242,2.761
"3682","Lepidodactylus oligoporus",-4.242,2.761
"3683","Lepidodactylus oortii",-4.242,2.761
"3684","Lepidodactylus orientalis",-4.242,2.761
"3685","Lepidodactylus pantai",-4.242,2.761
"3686","Lepidodactylus paurolepis",-4.242,2.761
"3687","Lepidodactylus planicaudus",-4.242,2.761
"3688","Lepidodactylus pulcher",-4.242,2.761
"3689","Lepidodactylus pumilus",-4.242,2.761
"3690","Lepidodactylus ranauensis",-4.242,2.761
"3691","Lepidodactylus shebae",-4.242,2.761
"3692","Lepidodactylus tepukapili",-4.242,2.761
"3693","Lepidodactylus vanuatuensis",-4.242,2.761
"3694","Lepidodactylus woodfordi",-4.242,2.761
"3695","Lepidodactylus yami",-4.242,2.761
"3696","Lepidophyma chicoasensis",-4.796,3.048
"3697","Lepidophyma cuicateca",-4.796,3.048
"3698","Lepidophyma dontomasi",-4.796,3.048
"3699","Lepidophyma flavimaculatum",-4.796,3.048
"3700","Lepidophyma gaigeae",-4.796,3.048
"3701","Lepidophyma lineri",-4.796,3.048
"3702","Lepidophyma lipetzi",-4.796,3.048
"3703","Lepidophyma lowei",-4.796,3.048
"3704","Lepidophyma mayae",-4.796,3.048
"3705","Lepidophyma micropholis",-4.796,3.048
"3706","Lepidophyma occulor",-4.796,3.048
"3707","Lepidophyma pajapanensis",-4.796,3.048
"3708","Lepidophyma radula",-4.796,3.048
"3709","Lepidophyma reticulatum",-4.796,3.048
"3710","Lepidophyma smithii",-4.796,3.048
"3711","Lepidophyma sylvaticum",-4.796,3.048
"3712","Lepidophyma tarascae",-4.796,3.048
"3713","Lepidophyma tuxtlae",-4.796,3.048
"3714","Lepidophyma zongolica",-4.796,3.048
"3715","Lepidothyris fernandi",-5.125,3.229
"3716","Lepidothyris hinkeli",-5.125,3.229
"3717","Lepidothyris striatus",-5.125,3.229
"3718","Leposoma annectans",-5.178,3.302
"3719","Leposoma baturitensis",-5.178,3.302
"3720","Leposoma nanodactylus",-5.178,3.302
"3721","Leposoma puk",-5.178,3.302
"3722","Leposoma scincoides",-5.178,3.302
"3723","Leposoma sinepollex",-5.178,3.302
"3724","Leposternon bagual",-8.647,4.007
"3725","Leposternon cerradensis",-8.647,4.007
"3726","Leposternon infraorbitale",-8.647,4.007
"3727","Leposternon kisteumacheri",-8.647,4.007
"3728","Leposternon maximus",-8.647,4.007
"3729","Leposternon microcephalum",-8.647,4.007
"3730","Leposternon mineiro",-8.647,4.007
"3731","Leposternon octostegum",-8.647,4.007
"3732","Leposternon polystegum",-8.647,4.007
"3733","Leposternon scutigerum",-8.647,4.007
"3734","Leposternon wuchereri",-8.647,4.007
"3735","Leptoseps osellai",-4.207,2.471
"3736","Leptoseps poilani",-4.207,2.471
"3737","Leptosiaphos aloysiisabaudiae",-4.207,2.471
"3738","Leptosiaphos amieti",-5.125,3.229
"3739","Leptosiaphos blochmanni",-5.125,3.229
"3740","Leptosiaphos dewittei",-5.125,3.229
"3741","Leptosiaphos dungeri",-5.125,3.229
"3742","Leptosiaphos fuhni",-5.125,3.229
"3743","Leptosiaphos graueri",-4.207,2.471
"3744","Leptosiaphos hackarsi",-4.207,2.471
"3745","Leptosiaphos hylophilus",-5.125,3.229
"3746","Leptosiaphos ianthinoxantha",-5.125,3.229
"3747","Leptosiaphos kilimensis",-5.125,3.229
"3748","Leptosiaphos koutoui",-5.125,3.229
"3749","Leptosiaphos luberoensis",-5.125,3.229
"3750","Leptosiaphos meleagris",-4.207,2.471
"3751","Leptosiaphos pauliani",-5.125,3.229
"3752","Leptosiaphos rhodurus",-5.125,3.229
"3753","Leptosiaphos rhomboidalis",-5.125,3.229
"3754","Leptosiaphos vigintiserierum",-5.125,3.229
"3755","Lerista aericeps",-4.207,2.471
"3756","Lerista allanae",-4.207,2.471
"3757","Lerista allochira",-4.207,2.471
"3758","Lerista ameles",-4.207,2.3
"3759","Lerista amicorum",-4.207,2.471
"3760","Lerista apoda",-4.207,2.3
"3761","Lerista arenicola",-5.125,3.229
"3762","Lerista axillaris",-4.207,2.471
"3763","Lerista baynesi",-4.207,2.471
"3764","Lerista bipes",-4.207,2.471
"3765","Lerista borealis",-4.207,2.471
"3766","Lerista bougainvillii",-5.125,3.229
"3767","Lerista bunglebungle",-4.207,2.471
"3768","Lerista carpentariae",-4.207,2.471
"3769","Lerista chordae",-4.207,2.471
"3770","Lerista christinae",-4.207,2.471
"3771","Lerista cinerea",-4.207,2.471
"3772","Lerista clara",-4.207,2.471
"3773","Lerista colliveri",-4.207,2.471
"3774","Lerista connivens",-4.207,2.471
"3775","Lerista desertorum",-4.207,2.471
"3776","Lerista distinguenda",-4.207,2.471
"3777","Lerista dorsalis",-4.207,2.471
"3778","Lerista edwardsae",-4.207,2.471
"3779","Lerista elegans",-4.207,2.471
"3780","Lerista elongata",-4.207,2.471
"3781","Lerista emmotti",-4.207,2.471
"3782","Lerista eupoda",-4.207,2.471
"3783","Lerista flammicauda",-4.207,2.471
"3784","Lerista fragilis",-4.207,2.471
"3785","Lerista frosti",-4.207,2.471
"3786","Lerista gascoynensis",-4.207,2.471
"3787","Lerista gerrardii",-4.207,2.471
"3788","Lerista greeri",-4.207,2.471
"3789","Lerista griffini",-4.207,2.471
"3790","Lerista haroldi",-4.207,2.471
"3791","Lerista hobsoni",-4.207,2.471
"3792","Lerista humphriesi",-4.207,2.3
"3793","Lerista ingrami",-4.207,2.471
"3794","Lerista ips",-4.207,2.471
"3795","Lerista jacksoni",-4.207,2.471
"3796","Lerista kalumburu",-4.207,2.471
"3797","Lerista karlschmidti",-4.207,2.471
"3798","Lerista kendricki",-4.207,2.471
"3799","Lerista kennedyensis",-4.207,2.471
"3800","Lerista kingi",-4.207,2.471
"3801","Lerista labialis",-4.207,2.471
"3802","Lerista lineata",-4.207,2.471
"3803","Lerista lineopunctulata",-4.207,2.471
"3804","Lerista macropisthopus",-4.207,2.471
"3805","Lerista maculosa",-4.207,2.471
"3806","Lerista micra",-4.207,2.471
"3807","Lerista microtis",-5.125,3.229
"3808","Lerista miopus",-4.207,2.471
"3809","Lerista muelleri",-4.207,2.471
"3810","Lerista neander",-4.207,2.471
"3811","Lerista nevinae",-4.207,2.471
"3812","Lerista nichollsi",-4.207,2.471
"3813","Lerista occulta",-4.207,2.471
"3814","Lerista onsloviana",-4.207,2.471
"3815","Lerista orientalis",-4.207,2.471
"3816","Lerista petersoni",-4.207,2.471
"3817","Lerista picturata",-4.207,2.471
"3818","Lerista planiventralis",-4.207,2.471
"3819","Lerista praefrontalis",-4.207,2.471
"3820","Lerista praepedita",-4.207,2.3
"3821","Lerista punctatovittata",-4.207,2.471
"3822","Lerista puncticauda",-4.207,2.471
"3823","Lerista quadrivincula",-4.207,2.471
"3824","Lerista robusta",-4.207,2.471
"3825","Lerista rochfordensis",-4.207,2.471
"3826","Lerista rolfei",-4.207,2.471
"3827","Lerista separanda",-4.207,2.471
"3828","Lerista simillima",-4.207,2.471
"3829","Lerista speciosa",-4.207,2.471
"3830","Lerista stictopleura",-4.207,2.471
"3831","Lerista storri",-4.207,2.471
"3832","Lerista stylis",-4.207,2.3
"3833","Lerista taeniata",-4.207,2.471
"3834","Lerista talpina",-4.207,2.471
"3835","Lerista terdigitata",-4.207,2.471
"3836","Lerista timida",-4.207,2.471
"3837","Lerista tridactyla",-4.207,2.471
"3838","Lerista uniduo",-4.207,2.471
"3839","Lerista vanderduysi",-4.207,2.471
"3840","Lerista varia",-4.207,2.471
"3841","Lerista verhmens",-4.207,2.471
"3842","Lerista vermicularis",-4.207,2.471
"3843","Lerista viduata",-5.125,3.229
"3844","Lerista vittata",-4.207,2.471
"3845","Lerista walkeri",-4.207,2.471
"3846","Lerista wilkinsi",-4.207,2.471
"3847","Lerista xanthura",-4.207,2.471
"3848","Lerista yuna",-4.207,2.471
"3849","Lerista zietzi",-4.207,2.471
"3850","Lerista zonulata",-4.207,2.471
"3851","Lialis burtonis",-2.039,1.371
"3852","Lialis jicari",-2.039,1.371
"3853","Liburnascincus artemis",-5.125,3.229
"3854","Liburnascincus coensis",-5.125,3.229
"3855","Liburnascincus mundivensis",-5.125,3.229
"3856","Liburnascincus scirtetis",-5.125,3.229
"3857","Liolaemus abaucan",-4.678,3.097
"3858","Liolaemus abdalai",-4.678,3.097
"3859","Liolaemus absconditus",-4.678,3.097
"3860","Liolaemus acostai",-4.678,3.097
"3861","Liolaemus albiceps",-4.678,3.097
"3862","Liolaemus alticolor",-4.678,3.097
"3863","Liolaemus andinus",-4.678,3.097
"3864","Liolaemus annectens",-4.678,3.097
"3865","Liolaemus anomalus",-4.678,3.097
"3866","Liolaemus antumalguen",-4.678,3.097
"3867","Liolaemus aparicioi",-4.678,3.097
"3868","Liolaemus arambarensis",-4.678,3.097
"3869","Liolaemus araucaniensis",-4.678,3.097
"3870","Liolaemus archeforus",-4.678,3.097
"3871","Liolaemus atacamensis",-4.678,3.097
"3872","Liolaemus audituvelatus",-4.678,3.097
"3873","Liolaemus austromendocinus",-4.678,3.097
"3874","Liolaemus avilai",-4.678,3.097
"3875","Liolaemus azarai",-4.678,3.097
"3876","Liolaemus baguali",-4.678,3.097
"3877","Liolaemus bellii",-4.678,3.097
"3878","Liolaemus bibronii",-4.678,3.097
"3879","Liolaemus bitaeniatus",-4.678,3.097
"3880","Liolaemus boulengeri",-4.678,3.097
"3881","Liolaemus buergeri",-4.678,3.097
"3882","Liolaemus burmeisteri",-4.678,3.097
"3883","Liolaemus calchaqui",-4.678,3.097
"3884","Liolaemus calliston",-4.678,3.097
"3885","Liolaemus canqueli",-4.678,3.097
"3886","Liolaemus caparensis",-4.678,3.097
"3887","Liolaemus capillitas",-4.678,3.097
"3888","Liolaemus carlosgarini",-4.678,3.097
"3889","Liolaemus casamiquelai",-4.678,3.097
"3890","Liolaemus cazianiae",-4.678,3.097
"3891","Liolaemus chacabucoense",-4.678,3.097
"3892","Liolaemus chacoensis",-4.678,3.097
"3893","Liolaemus chaltin",-4.678,3.097
"3894","Liolaemus chavin",-4.678,3.097
"3895","Liolaemus chehuachekenk",-4.678,3.097
"3896","Liolaemus chiliensis",-4.678,3.097
"3897","Liolaemus chillanensis",-4.678,3.097
"3898","Liolaemus chlorostictus",-4.678,3.097
"3899","Liolaemus chungara",-4.678,3.097
"3900","Liolaemus cinereus",-4.678,3.097
"3901","Liolaemus coeruleus",-4.678,3.097
"3902","Liolaemus confusus",-4.678,3.097
"3903","Liolaemus constanzae",-4.678,3.097
"3904","Liolaemus crandalli",-4.678,3.097
"3905","Liolaemus cranwelli",-4.678,3.097
"3906","Liolaemus crepuscularis",-4.678,3.097
"3907","Liolaemus cristiani",-4.678,3.097
"3908","Liolaemus curicensis",-4.678,3.097
"3909","Liolaemus curis",-4.678,3.097
"3910","Liolaemus cuyanus",-4.678,3.097
"3911","Liolaemus cuyumhue",-4.678,3.097
"3912","Liolaemus cyaneinotatus",-4.678,3.097
"3913","Liolaemus cyanogaster",-4.678,3.097
"3914","Liolaemus darwinii",-4.678,3.097
"3915","Liolaemus diaguita",-4.678,3.097
"3916","Liolaemus dicktracyi",-4.678,3.097
"3917","Liolaemus disjunctus",-4.678,3.097
"3918","Liolaemus ditadai",-4.678,3.097
"3919","Liolaemus donosobarrosi",-4.678,3.097
"3920","Liolaemus dorbignyi",-4.678,3.097
"3921","Liolaemus duellmani",-4.678,3.097
"3922","Liolaemus dumerili",-4.678,3.097
"3923","Liolaemus eleodori",-4.678,3.097
"3924","Liolaemus elongatus",-4.678,3.097
"3925","Liolaemus erguetae",-4.678,3.097
"3926","Liolaemus erroneus",-4.678,3.097
"3927","Liolaemus escarchadosi",-4.678,3.097
"3928","Liolaemus espinozai",-4.678,3.097
"3929","Liolaemus etheridgei",-4.678,3.097
"3930","Liolaemus exploratorum",-4.678,3.097
"3931","Liolaemus fabiani",-4.678,3.097
"3932","Liolaemus famatinae",-4.678,3.097
"3933","Liolaemus fittkaui",-4.678,3.097
"3934","Liolaemus fitzgeraldi",-4.678,3.097
"3935","Liolaemus fitzingerii",-4.678,3.097
"3936","Liolaemus flavipiceus",-4.678,3.097
"3937","Liolaemus forsteri",-4.678,3.097
"3938","Liolaemus foxi",-4.678,3.097
"3939","Liolaemus frassinettii",-4.678,3.097
"3940","Liolaemus fuscus",-4.678,3.097
"3941","Liolaemus gallardoi",-4.678,3.097
"3942","Liolaemus gardeli",-4.678,3.097
"3943","Liolaemus goetschi",-4.678,3.097
"3944","Liolaemus gracielae",-4.678,3.097
"3945","Liolaemus gracilis",-4.678,3.097
"3946","Liolaemus gravenhorstii",-4.678,3.097
"3947","Liolaemus griseus",-4.678,3.097
"3948","Liolaemus grosseorum",-4.678,3.097
"3949","Liolaemus gununakuna",-4.678,3.097
"3950","Liolaemus hajeki",-4.678,3.097
"3951","Liolaemus halonastes",-4.678,3.097
"3952","Liolaemus hatcheri",-4.678,3.097
"3953","Liolaemus heliodermis",-4.678,3.097
"3954","Liolaemus hellmichi",-4.678,3.097
"3955","Liolaemus hermannunezi",-4.678,3.097
"3956","Liolaemus huacahuasicus",-4.678,3.097
"3957","Liolaemus huayra",-4.678,3.097
"3958","Liolaemus igneus",-4.678,3.097
"3959","Liolaemus inacayali",-4.678,3.097
"3960","Liolaemus incaicus",-4.678,3.097
"3961","Liolaemus insolitus",-4.678,3.097
"3962","Liolaemus inti",-4.678,3.097
"3963","Liolaemus irregularis",-4.678,3.097
"3964","Liolaemus isabelae",-4.678,3.097
"3965","Liolaemus islugensis",-4.678,3.097
"3966","Liolaemus jamesi",-4.678,3.097
"3967","Liolaemus janequeoae",-4.678,3.097
"3968","Liolaemus josei",-4.678,3.097
"3969","Liolaemus juanortizi",-4.678,3.097
"3970","Liolaemus kingii",-4.678,3.097
"3971","Liolaemus kolengh",-4.678,3.097
"3972","Liolaemus koslowskyi",-4.678,3.097
"3973","Liolaemus kriegi",-4.678,3.097
"3974","Liolaemus laurenti",-4.678,3.097
"3975","Liolaemus lavillai",-4.678,3.097
"3976","Liolaemus leftrarui",-4.678,3.097
"3977","Liolaemus lemniscatus",-4.678,3.097
"3978","Liolaemus lentus",-4.678,3.097
"3979","Liolaemus leopardinus",-4.678,3.097
"3980","Liolaemus lineomaculatus",-4.678,3.097
"3981","Liolaemus loboi",-4.678,3.097
"3982","Liolaemus lonquimayensis",-4.678,3.097
"3983","Liolaemus lopezi",-4.678,3.097
"3984","Liolaemus lorenzmuelleri",-4.678,3.097
"3985","Liolaemus lutzae",-4.678,3.097
"3986","Liolaemus magellanicus",-4.678,3.097
"3987","Liolaemus maldonadae",-4.678,3.097
"3988","Liolaemus manueli",-4.678,3.097
"3989","Liolaemus mapuche",-4.678,3.097
"3990","Liolaemus martorii",-4.678,3.097
"3991","Liolaemus melaniceps",-4.678,3.097
"3992","Liolaemus melanogaster",-4.678,3.097
"3993","Liolaemus melanopleurus",-4.678,3.097
"3994","Liolaemus melanops",-4.678,3.097
"3995","Liolaemus millcayac",-4.678,3.097
"3996","Liolaemus molinai",-4.678,3.097
"3997","Liolaemus montanezi",-4.678,3.097
"3998","Liolaemus montanus",-4.678,3.097
"3999","Liolaemus monticola",-4.678,3.097
"4000","Liolaemus moradoensis",-4.678,3.097
"4001","Liolaemus morandae",-4.678,3.097
"4002","Liolaemus morenoi",-4.678,3.097
"4003","Liolaemus multicolor",-4.678,3.097
"4004","Liolaemus multimaculatus",-4.678,3.097
"4005","Liolaemus neuquensis",-4.678,3.097
"4006","Liolaemus nigriceps",-4.678,3.097
"4007","Liolaemus nigrocoeruleus",-4.678,3.097
"4008","Liolaemus nigromaculatus",-4.678,3.097
"4009","Liolaemus nigroviridis",-4.678,3.097
"4010","Liolaemus nitidus",-4.678,3.097
"4011","Liolaemus occipitalis",-4.678,3.097
"4012","Liolaemus olongasta",-4.678,3.097
"4013","Liolaemus omorfi",-4.678,3.097
"4014","Liolaemus orientalis",-4.678,3.097
"4015","Liolaemus orko",-4.678,3.097
"4016","Liolaemus ornatus",-4.678,3.097
"4017","Liolaemus ortizii",-4.678,3.097
"4018","Liolaemus pacha",-4.678,3.097
"4019","Liolaemus pachacutec",-4.678,3.097
"4020","Liolaemus pachecoi",-4.678,3.097
"4021","Liolaemus pagaburoi",-4.678,3.097
"4022","Liolaemus pantherinus",-4.678,3.097
"4023","Liolaemus parthenos",-4.678,3.097
"4024","Liolaemus parvus",-4.678,3.097
"4025","Liolaemus patriciaiturrae",-4.678,3.097
"4026","Liolaemus paulinae",-4.678,3.097
"4027","Liolaemus petrophilus",-4.678,3.097
"4028","Liolaemus pictus",-4.678,3.097
"4029","Liolaemus pipanaco",-4.678,3.097
"4030","Liolaemus platei",-4.678,3.097
"4031","Liolaemus pleopholis",-4.678,3.097
"4032","Liolaemus poconchilensis",-4.678,3.097
"4033","Liolaemus poecilochromus",-4.678,3.097
"4034","Liolaemus polystictus",-4.678,3.097
"4035","Liolaemus porosus",-4.678,3.097
"4036","Liolaemus pseudoanomalus",-4.678,3.097
"4037","Liolaemus pseudolemniscatus",-4.678,3.097
"4038","Liolaemus puelche",-4.678,3.097
"4039","Liolaemus pulcherrimus",-4.678,3.097
"4040","Liolaemus puna",-4.678,3.097
"4041","Liolaemus punmahuida",-4.678,3.097
"4042","Liolaemus puritamensis",-4.678,3.097
"4043","Liolaemus purul",-4.678,3.097
"4044","Liolaemus pyriphlogos",-4.678,3.097
"4045","Liolaemus quilmes",-4.678,3.097
"4046","Liolaemus rabinoi",-4.678,3.097
"4047","Liolaemus ramirezae",-4.678,3.097
"4048","Liolaemus ramonensis",-4.678,3.097
"4049","Liolaemus riodamas",-4.678,3.097
"4050","Liolaemus riojanus",-4.678,3.097
"4051","Liolaemus robertmertensi",-4.678,3.097
"4052","Liolaemus robertoi",-4.678,3.097
"4053","Liolaemus robustus",-4.678,3.097
"4054","Liolaemus rosenmanni",-4.678,3.097
"4055","Liolaemus rothi",-4.678,3.097
"4056","Liolaemus ruibali",-4.678,3.097
"4057","Liolaemus sagei",-4.678,3.097
"4058","Liolaemus salinicola",-4.678,3.097
"4059","Liolaemus sanjuanensis",-4.678,3.097
"4060","Liolaemus sarmientoi",-4.678,3.097
"4061","Liolaemus saxatilis",-4.678,3.097
"4062","Liolaemus scapularis",-4.678,3.097
"4063","Liolaemus schmidti",-4.678,3.097
"4064","Liolaemus schroederi",-4.678,3.097
"4065","Liolaemus scolaroi",-4.678,3.097
"4066","Liolaemus scorialis",-4.678,3.097
"4067","Liolaemus scrocchii",-4.678,3.097
"4068","Liolaemus senguer",-4.678,3.097
"4069","Liolaemus septentrionalis",-4.678,3.097
"4070","Liolaemus shehuen",-4.678,3.097
"4071","Liolaemus shitan",-4.678,3.097
"4072","Liolaemus signifer",-4.678,3.097
"4073","Liolaemus silvai",-4.678,3.097
"4074","Liolaemus silvanae",-4.678,3.097
"4075","Liolaemus sitesi",-4.678,3.097
"4076","Liolaemus smaug",-4.678,3.097
"4077","Liolaemus somuncurae",-4.678,3.097
"4078","Liolaemus stolzmanni",-4.678,3.097
"4079","Liolaemus tacnae",-4.678,3.097
"4080","Liolaemus tacora",-4.678,3.097
"4081","Liolaemus talampaya",-4.678,3.097
"4082","Liolaemus tandiliensis",-4.678,3.097
"4083","Liolaemus tari",-4.678,3.097
"4084","Liolaemus tehuelche",-4.678,3.097
"4085","Liolaemus telsen",-4.678,3.097
"4086","Liolaemus tenuis",-4.678,3.097
"4087","Liolaemus thermarum",-4.678,3.097
"4088","Liolaemus thomasi",-4.678,3.097
"4089","Liolaemus tirantii",-4.678,3.097
"4090","Liolaemus tolhuaca",-4.678,3.097
"4091","Liolaemus torresi",-4.678,3.097
"4092","Liolaemus tregenzai",-4.678,3.097
"4093","Liolaemus tristis",-4.678,3.097
"4094","Liolaemus tromen",-4.678,3.097
"4095","Liolaemus tulkas",-4.678,3.097
"4096","Liolaemus ubaghsi",-4.678,3.097
"4097","Liolaemus umbrifer",-4.678,3.097
"4098","Liolaemus uniformis",-4.678,3.097
"4099","Liolaemus uptoni",-4.678,3.097
"4100","Liolaemus uspallatensis",-4.678,3.097
